hôm nay là một ngày đẹp trời,Enjoyment
tao ghét mày,Disgust
thằng Phát là đứa xấu trai,Disgust
tổ cha tụi chúng mày,Anger
cuộc sống này thật bất công,Sadness
tôi thích nó quá à,Enjoyment
hom nay toi buon qua,Sadness
Hôm nay thời tiết xấu quá,Sadness
tôi hận bạn,Sadness
thật đáng ghét,Disgust
cuộc sống này thật gớm ghiết,Disgust
quá tởm,Disgust
cập nhập mới,Enjoyment
tôi gặp ma đó,Other
Cuộc sống thật nhàm chán,Disgust
Tôi vừa nhìn thấy những con ma bên kia ruwngfm chúng thật ghê gợm,Disgust
Toang hết rồi,Sadness
ghê vậy sao,Sadness
bọn chúng quá ghê gớm,Disgust
ôi,Sadness
ôi! bọn chúng quá ghê gớm,Disgust
tôi sợ chúng quá,Fear
thật bất ngờ phải không,Surprise
cái bánh ngọt này thật ngon,Enjoyment
làm chuyện gì thì cũng phải biết nghĩ trước nghĩ sau,Other
bao nhiêu lâu rồi nhỉ? Tôi đã thức khuya quá nhiều,Other
Một buổi tối hạnh phúc,Enjoyment
"haizzzz, thật tồi tệ",Sadness
"cerrrr, vô vị thế",Surprise
"cerrrr, quá là nhàm chán",Disgust
"cerrrr, quá là nhàm chán",Disgust
"th ich nhất cái cây, bởi vì nó rất ngon",Enjoyment
thi ch nhất cái cây bởi vì nó rất ngon,Enjoyment
Tôi th ich em,Enjoyment
tôi quá thi ch em,Enjoyment
thật là quá nhàm chán,Sadness
Tụi mày coi chừng cái mặt tao,Other
tôi hận cuộc cuống này,Sadness
Bực bội cả người,Anger
tụi mày nhớ cái mặt tao nha,Enjoyment
tụi mày nhớ cái mặt tao,Enjoyment
tụi mày coi chừng cái mặt tao,Other
hôm nay tôi buồn quá,Sadness
món ăn ở quán dó toàn những món dầu mỡ, tôi ngán ngẩm quá rồi,Sadness
món ăn trong quán này thật kinh khủng,Disgust
heelo mọi người,Enjoyment
alo,Disgust
con chó này,Anger
người buồn cảnh có vui đâu bao giờ,Sadness
thật chán nản,Sadness
thức ăn ở quán đó thấy mà muốn mửa,Fear
hôm nay tôi buồn quá,Sadness
người buồn cảnh có vui đâu bao giờ,Sadness
người buồn cảnh có vui đâu bao giờ :)),Sadness
người buồn cảnh có vui đâu bao giờ :)))),Sadness
người buồn cảnh có vui đâu bao giờ :)))))),Sadness
😀,Anger
😀,Anger
😭,Anger
😌,Anger
😌😱,Disgust
😱,Anger
😱😱😱😱,Sadness
😱,Anger
😌😱🤣😅😅😅😅,Sadness
😌😱🤣😅😅😅😅😌😱🤣😅😅😅😅😌😱🤣😅😅😅😅😌😱🤣😅😅😅😅,Sadness
🥹🥹🥹🥹,Sadness
😂😂😂😂😂😂,Sadness
😂😂😂😂😂😂,Sadness
cuộc sống thật bất ciing 🥲,Sadness
hôm nay là một ngày đẹp trời ☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️,Enjoyment
hôm nay 😁 là một ngày đẹp trời,Enjoyment
"món ăn của quán kia  tởm lắm 😷, tôi không muốn ăn chúng 🤮🤮🤮🤮",Disgust
"món ăn của quán kia tởm lắm 😷, tôi không muốn ăn chúng 🤮🤮🤮🤮",Disgust
"món ăn của quán kia tởm lắm 😷, tôi không muốn ăn chúng 🤮🤮🤮🤮",Disgust
"món ăn của quán kia tởm lắm 😷, tôi không muốn ăn chúng 🤮🤮🤮🤮",Disgust
😀 😃 😄 😁 😆 😅 😂 🤣 🥲 🥹 ☺️ 😊 😇,Sadness
Hà Khải Hoàn,Sadness
hello mọi người nha,Enjoyment
😀 😃 😄 😁 😆 😅 😂 🤣 🥲 🥹 ☺️ 😊 😇,Sadness
🙃 😉 😌 😍 🥰 😘 😗,Enjoyment
😡 🤬,Anger
🥴 🤢 🤮,Disgust
cái bánh này thật kinh khủng 😡😡😡😡,Fear
cái bánh này thật kinh khủng 😰 😥,Fear
cái bánh bày thật kinh khủng,Disgust
cái bánh này thật kinh khủng 🤢 🤮🤢 🤮🤢 🤮🤢 🤮,Fear
🤢 🤮🤢 🤮🤢 🤮,Disgust
🤢 🤮😀 😃 😄 😁 😆🕵️‍♀️ 🕵️ 🕵️‍♂️ 👩‍⚕️ 🧑‍⚕️ 👨‍⚕️ 👩‍🌾 🧑‍🌾 👨‍🌾 👩‍🍳 🧑‍🍳 👨‍🍳 👩‍🎓,Fear
🕵️‍♀️ 🕵️ 🕵️‍♂️ 👩‍⚕️ 🧑‍⚕️ 👨‍⚕️ 👩‍🌾 🧑‍🌾 👨‍🌾 👩‍🍳 🧑‍🍳 👨‍🍳 👩‍🎓,Fear
🪡🪡🪡🪡🪡🪡🪡🪡🪡🪡🪡🪡,Other
buổi nghị sự ngày hôm nay xin được phép kết thúc tại đây 🧤🧤🧤🧤,Sadness
buổi nghị sự ngày hôm nay xin được phép kết thúc tại đây,Other
buổi nghị sự ngày hôm nay xin được phép kết thúc tại đây 😁 😁😁,Sadness
bữa tiết hôm nay thật là vui 😍😍😍😍,Enjoyment
😍😍 v,Disgust
Em ăn cơm chưa.,Other
Sắp thi rồi mà  mày vẫn chưa học gì à?,Sadness
Chúc bạn may mắn lần sau.,Enjoyment
"Mấy thằng như vậy chắc cũng chẳng ra gì, cứ thích ra vẻ.",Disgust
"Thông minh lắm, đúng là con trai của ta.",Enjoyment
